Qcount, Qval, Angsum
326, -2.78634, 27.998
327, -2.773, 28.032
328, -2.75965, 27.8424
329, -2.74631, 27.9112
330, -2.73297, 27.8899
331, -2.71963, 27.9367
332, -2.70628, 27.9195
333, -2.69294, 27.8451
334, -2.6796, 27.8277
335, -2.66626, 27.8114
336, -2.65291, 27.8045
337, -2.63957, 27.6813
338, -2.62623, 27.7589
339, -2.61288, 27.6853
340, -2.59954, 27.5472
341, -2.5862, 27.6879
342, -2.57286, 27.6115
343, -2.55951, 27.6896
344, -2.54617, 27.5792
345, -2.53283, 27.5193
346, -2.51949, 27.6018
347, -2.50614, 27.5601
348, -2.4928, 27.4545
349, -2.47946, 27.4532
350, -2.46611, 27.415
351, -2.45277, 27.4766
352, -2.43943, 27.4366
353, -2.42609, 27.3227
354, -2.41274, 27.3388
355, -2.3994, 27.4511
356, -2.38606, 27.3663
357, -2.37272, 27.2795
358, -2.35937, 27.2557
359, -2.34603, 27.1598
360, -2.33269, 27.3184
361, -2.31935, 27.0249
362, -2.306, 27.1654
363, -2.29266, 26.7941
364, -2.27932, 27.082
365, -2.26597, 27.1334
366, -2.25263, 27.0751
367, -2.23929, 27.0768
368, -2.22595, 27.1012
369, -2.2126, 26.9361
370, -2.19926, 27.0643
371, -2.18592, 26.9583
372, -2.17258, 26.8132
373, -2.15923, 26.8504
374, -2.14589, 26.9652
375, -2.13255, 27.0648
376, -2.1192, 26.8382
377, -2.10586, 26.8102
378, -2.09252, 26.7801
379, -2.07918, 26.884
380, -2.06583, 26.8832
381, -2.05249, 26.8043
382, -2.03915, 26.7068
383, -2.02581, 26.8296
384, -2.01246, 26.7558
385, -1.99912, 26.7211
386, -1.98578, 26.7177
387, -1.97243, 26.7278
388, -1.95909, 26.6663
389, -1.94575, 26.5394
390, -1.93241, 26.6416
391, -1.91906, 26.5748
392, -1.90572, 26.5531
393, -1.89238, 26.5315
394, -1.87904, 26.5744
395, -1.86569, 26.3814
396, -1.85235, 26.472
397, -1.83901, 26.4729
398, -1.82567, 26.4272
399, -1.81232, 26.4308
400, -1.79898, 26.3893
401, -1.78564, 26.2119
402, -1.77229, 26.1874
403, -1.75895, 26.2596
404, -1.74561, 26.2422
405, -1.73227, 26.2413
406, -1.71892, 26.2186
407, -1.70558, 26.099
408, -1.69224, 26.122
409, -1.6789, 25.8982
410, -1.66555, 26.1768
411, -1.65221, 26.1404
412, -1.63887, 26.0989
413, -1.62552, 25.9227
